Last,Style,Name,Leather,Color,Outsole,Welt
Van,U-Throat Bal,,Calfskin / Suede,Brown / Green,Single Leather,270 Flat Welt
Van,U-Throat Bal,,Calfskin,Tan,Single Leather,(no data)
(no data),Wing Tip Bal,,Calfskin / Suede,Black / White,Single Leather,270 Flat Welt
(no data),Wing Tip Bal,,Suede / Suede,Navy / Grey,Single Leather,360 Flat Welt
Barrie,Norwegian Front Blucher,,Shell Cordovan,Color 8,Double Leather,270 Flat Welt
Barrie,Norwegian Front Blucher,,Shell Cordovan,Black,Double Leather,(no data)
Hampton,Medallion Tip Bal,,Calfskin,Brown / White,Single Leather,270 Flat Welt
Hampton,Medallion Tip Bal,,Calfskin,Black / White,Single Leather,270 Flat Welt
Hampton,Medallion Tip Bal,,Nubuck,White,Single Leather,270 Flat Welt
Barrie,Norwegian Front Blucher,,Calfskin,Tan,Rubber,360 Pre-Stitched Reverse
Barrie,Norwegian Front Blucher,,Shell Cordovan,Cigar,Double Leather,360 Pre-Stitched Reverse
Aberdeen,Norwegian Front Blucher,,Alpine Grain,Brown,Commando,270 Flat Welt
Barrie,Norwegian Front Blucher,,Scotch Grain,Brown,Double Leather,360 Flat Welt
Barrie,Norwegian Front Blucher,,Suede,Snuff,Double Leather,360 Flat Welt
Barrie,Norwegian Front Blucher,,Suede,Snuff,Double Leather,360 Flat Welt
Barrie,Norwegian Front Blucher,,Suede,Tan,Double Leather,360 Flat Welt
Barrie,Norwegian Front Blucher,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
379X,Mocc Toe Blucher,,Shell Cordovan,Black,Plantation Crepe,270 Flat Welt
Plaza,Norwegian Front Blucher,,Calfskin,Black,Single Leather,270 Flat Welt
Modified,Plain Toe Dover,,Calfskin,Black,Wedge,360 Flat Welt
Modified,Plain Toe Dover,,Calfskin,Brown,Wedge,360 Flat Welt
Modified,Straight Tip Blucher,,Calfskin,Black,Wedge,360 Flat Welt
Grant,Perforated Wing Blucher,,Calfskin,Black,Single Leather,270 Flat Welt
Grant,Perforated Wing Blucher,,Calfskin,Burgundy,Single Leather,270 Flat Welt
Hampton,Straight Tip Blucher,,Calfskin,Brown,Single Leather,(no data)
(no data),Straight Tip Blucher,,Suede,Brown,Double Leather,270 Flat Welt
Barrie,Plain Toe Dover,,Suede,Tan,Wedge,360 Flat Welt
Barrie,Plain Toe Dover,,Suede,Tan,Red Brick,360 Flat Welt
